filename,duration,original_dB,scaled_dB,
bookcase_m2,0.47020408163265304,59.94829767452661,64.99999999999999,
bucket_m2,0.6518367346938776,56.126773380079264,65,
clock_m2,0.4831972789115646,57.22122527387682,65,
drawer_m2,0.5085487528344671,58.718373248040486,65,
fan_m2,0.41303854875283447,57.484688022805386,65,
fim_m2,0.36829931972789115,60.56216847741152,65,
fimbookcase_m2,0.8385034013605442,60.22866931988733,64.99999999999999,
fimbucket_m2,1.0201360544217688,58.27909138444901,65,
fimclock_m2,0.8514965986394558,58.98492785561099,65,
fimdrawer_m2,0.8768480725623583,59.58962762658901,65,
fimfan_m2,0.7813378684807256,59.20507083329048,64.99999999999999,
fimlamp_m2,0.7833560090702948,59.74006759447268,65,
fimmirror_m2,0.9836281179138322,58.2256012255956,65,
fimsofa_m2,1.0622902494331066,58.980540891619185,65.00000000000001,
hap_m2,0.34249433106575966,57.33052514895096,65,
hapbookcase_m2,0.8126984126984127,59.02895222229916,65,
hapbucket_m2,0.9943310657596371,56.58006186193859,65,
hapclock_m2,0.8256916099773243,57.26689685599139,65,
hapdrawer_m2,0.8510430839002268,58.2118767221968,65,
hapfan_m2,0.7555328798185941,57.41548098990566,65,
haplamp_m2,0.7575510204081632,58.22913020888446,65,
hapmirror_m2,0.9578231292517007,56.4170538321133,64.99999999999999,
hapsofa_m2,1.0364852607709751,57.66956709050653,65,
lamp_m2,0.41505668934240364,58.85206160042851,65,
mirror_m2,0.615328798185941,55.81076925887494,65.00000000000001,
sofa_m2,0.6939909297052154,57.827613600624616,64.99999999999999,
filename,duration,original_dB,scaled_dB,
nimbookcase_m2,0.6943083900226757,67.14734101793657,65,
nimbucket_m2,0.8759410430839002,66.78103277526904,65,
nimclock_m2,0.7073015873015873,67.11608818620637,65,
nimdrawer_m2,0.7326530612244898,67.0577635807735,65.00000000000001,
nimfan_m2,0.6371428571428571,67.29672974518164,65,
nimlamp_m2,0.6391609977324263,67.29108289389868,64.99999999999999,
nimmirror_m2,0.8394331065759637,66.84409949534495,65,
nimsofa_m2,0.9180952380952381,66.71340865350516,65,
filename,duration,original_dB,scaled_dB,
togbookcase_m2,0.683219954648526,67.23796719430732,65,
togbucket_m2,0.8648526077097506,66.85422449780206,64.99999999999999,
togclock_m2,0.6962131519274376,67.2051867048665,64.99999999999999,
togdrawer_m2,0.7215646258503401,67.14402914444639,65.00000000000001,
togfan_m2,0.6260544217687075,67.39477668391609,65.00000000000001,
toglamp_m2,0.6280725623582767,67.38884650695515,65,
togmirror_m2,0.8283446712018141,66.92022066692532,65,
togsofa_m2,0.9070068027210885,66.78349285710004,65,
