filename,duration,original_dB,scaled_dB,
bookcase_f1,0.6017233560090703,71.32232332672736,64.99999999999999,
bucket_f1,0.7651927437641723,69.43898304658467,65,
clock_f1,0.7041043083900227,68.24346407368658,65,
drawer_f1,0.5747845804988662,68.33956961619877,65,
fan_f1,0.6574149659863946,67.64769755394069,65,
fim_f1,0.4029251700680272,67.16948028226393,65,
fimbookcase_f1,1.0046485260770974,70.09075135945665,65,
fimbucket_f1,1.1681179138321995,68.78199242776198,65,
fimclock_f1,1.1070294784580499,67.88256149761276,64.99999999999999,
fimdrawer_f1,0.9777097505668935,67.894848153494,65,
fimfan_f1,1.0603401360544218,67.47212277007608,65.00000000000001,
fimlamp_f1,0.9022675736961451,72.15182403743088,64.99999999999999,
fimmirror_f1,1.1788888888888889,64.77645280677308,65,
fimsofa_f1,1.247142857142857,67.11601684286603,64.99999999999999,
hap_f1,0.3592517006802721,70.69072998645527,65,
hapbookcase_f1,0.9609750566893424,71.09681964276797,65,
hapbucket_f1,1.1244444444444444,69.87939613617391,64.99999999999999,
hapclock_f1,1.0633560090702947,69.23228320111957,64.99999999999999,
hapdrawer_f1,0.9340362811791383,69.39909914079864,64.99999999999999,
hapfan_f1,1.0166666666666666,68.9789620338091,65,
haplamp_f1,0.85859410430839,72.94632841289436,64.99999999999999,
hapmirror_f1,1.1352154195011337,66.97200929000998,65.00000000000001,
hapsofa_f1,1.2034693877551021,68.50606276394815,65.00000000000001,
lamp_f1,0.49934240362811794,74.0571137811004,65,
mirror_f1,0.7759637188208617,62.68871764041712,65,
sofa_f1,0.8442176870748299,67.09026610604145,65.00000000000001,
filename,duration,original_dB,scaled_dB,
filename,duration,original_dB,scaled_dB,
nim_bookcase_f1,0.8103174603174603,66.92180248284713,65,
nim_bucket_f1,0.9737868480725623,66.65296836391047,65,
nim_clock_f1,0.9126984126984127,66.74402464900203,65,
nim_drawer_f1,0.7833786848072563,66.97488831089858,65,
nim_fan_f1,0.8660090702947846,66.82076906620269,64.99999999999999,
nim_lamp_f1,0.707936507936508,67.14077966949762,65.00000000000001,
nim_mirror_f1,0.9845578231292517,66.63790502997882,64.99999999999999,
nim_sofa_f1,1.05281179138322,66.54853270181717,64.99999999999999,
filename,duration,original_dB,scaled_dB,
nimbookcase_f1,0.8506349206349206,64.65548935093963,65,
nimbucket_f1,1.0141043083900227,64.71291999591205,65.00000000000001,
nimclock_f1,0.953015873015873,64.69385598595724,65.00000000000001,
nimdrawer_f1,0.8236961451247166,64.64376188006514,64.99999999999999,
nimfan_f1,0.9063265306122449,64.67746547579944,65,
nimlamp_f1,0.7482539682539683,64.60616240788949,64.99999999999999,
nimmirror_f1,1.024875283446712,64.71604206698734,65,
nimsofa_f1,1.0931292517006803,64.73432585385719,65,
filename,duration,original_dB,scaled_dB,
nimbookcase_f1,0.8673696145124716,65.72099540796911,64.99999999999999,
nimbucket_f1,1.0308390022675737,65.61436133905066,65,
nimclock_f1,0.969750566893424,65.65030171885462,65.00000000000001,
nimdrawer_f1,0.8404308390022676,65.7422483841818,65,
nimfan_f1,0.9230612244897959,65.68072824419225,65,
nimlamp_f1,0.7649886621315193,65.80901431660132,65,
nimmirror_f1,1.041609977324263,65.60843658872365,65,
nimsofa_f1,1.1098639455782313,65.57338074047907,64.99999999999999,
filename,duration,original_dB,scaled_dB,
togbookcase_f1,0.856734693877551,64.51471719743807,65,
togbucket_f1,1.020204081632653,64.5962327685155,65,
togclock_f1,0.9591156462585034,64.5691999905521,65,
togdrawer_f1,0.8297959183673469,64.49803167291503,65,
togfan_f1,0.9124263038548753,64.54594324704601,65,
toglamp_f1,0.7543537414965986,64.44447956459351,65,
togmirror_f1,1.0309750566893423,64.60065537913941,65,
togsofa_f1,1.0992290249433108,64.62654995574536,65,
