filename,duration,original_dB,scaled_dB,
intro_f1,8.595147392290249,66.89146137393425,65,
intro_f2,8.774693877551021,62.661362359720776,65,
intro_f3,9.142993197278912,59.58791305825823,65,
intro_f4,8.818095238095237,60.467041856425936,65,
intro_f5,8.113990929705215,60.535457418033246,64.99999999999999,
intro_f6,8.961020408163265,56.45346708675427,65,
intro_m1,9.021700680272108,71.04459642138158,65.00000000000001,
intro_m2,8.58764172335601,58.66078064309892,65,
intro_m3,8.680907029478458,56.04123565068166,65.00000000000001,
intro_m4,8.986009070294784,58.52912632590119,65,
intro_m5,8.569160997732427,62.03047260428171,65,
intro_m6,9.852244897959183,68.31876499623812,64.99999999999999,
introshort_f1,1.7391156462585033,70.25974966413654,65,
introshort_f2,1.604716553287982,63.96000258227623,65,
introshort_f3,2.193832199546485,60.95035586751925,65,
introshort_f4,1.7498866213151927,62.63305686963587,65,
introshort_f5,1.8206349206349206,62.54644652797115,65,
introshort_f6,1.8247392290249433,54.917916231309114,65,
introshort_m1,1.7370975056689342,70.83917267898414,65,
introshort_m2,1.7152834467120182,60.382717220409596,64.99999999999999,
introshort_m3,1.5988208616780046,56.80220519292385,65,
introshort_m4,2.086235827664399,59.394855896688426,65.00000000000001,
introshort_m5,1.811655328798186,60.72133227140184,64.99999999999999,
introshort_m6,1.8656689342403627,70.23158263594505,64.99999999999999,
