filename,duration,original_dB,scaled_dB,
bookcase_m3,0.4556916099773243,59.325675094325376,65,
bucket_m3,0.7337414965986394,55.49122346956074,65,
clock_m3,0.5590249433106576,56.167360566956134,65,
drawer_m3,0.42376417233560093,55.74073577554195,65,
fan_m3,0.5309297052154195,56.099874264189964,65,
fim_m3,0.29315192743764173,58.65921360854391,65,
fimbookcase_m3,0.748843537414966,59.0768102603722,65,
fimbucket_m3,1.0268934240362813,56.65260473578199,64.99999999999999,
fimclock_m3,0.8521768707482993,57.19370209356527,65,
fimdrawer_m3,0.7169160997732427,57.17649628601259,65,
fimfan_m3,0.8240816326530612,57.190802072003436,65.00000000000001,
fimlamp_m3,0.7415873015873016,59.97013538275054,65,
fimmirror_m3,0.857687074829932,55.802165789598774,65,
fimsofa_m3,0.966530612244898,57.83656681020955,65,
hap_m3,0.29848072562358274,58.19596206074338,65.00000000000001,
hapbookcase_m3,0.754172335600907,58.91298598371335,65,
hapbucket_m3,1.0322222222222222,56.45987793262927,65,
hapclock_m3,0.8575056689342404,56.98527827617713,65,
hapdrawer_m3,0.7222448979591837,56.927021199278386,65,
hapfan_m3,0.8294104308390022,56.9750118670087,65,
haplamp_m3,0.7469160997732426,59.82998389751525,65,
hapmirror_m3,0.863015873015873,55.52506561243198,64.99999999999999,
hapsofa_m3,0.971859410430839,57.675488497947036,65,
lamp_m3,0.44843537414965984,60.6532124045491,65,
mirror_m3,0.5645351473922903,52.93479441138744,65,
sofa_m3,0.6733786848072563,57.42320295752549,65,
filename,duration,original_dB,scaled_dB,
nimbookcase_m3,0.7491156462585034,65.12072495277346,65.00000000000001,
nimbucket_m3,1.0271655328798186,65.08838470400454,65,
nimclock_m3,0.8524489795918367,65.10628197228374,65.00000000000001,
nimdrawer_m3,0.71718820861678,65.12602855671233,65,
nimfan_m3,0.8243537414965987,65.10984808802884,64.99999999999999,
nimlamp_m3,0.741859410430839,65.12189876865092,65.00000000000001,
nimmirror_m3,0.8579591836734693,65.10559845893037,64.99999999999999,
nimsofa_m3,0.9668027210884353,65.09384016093446,65,
filename,duration,original_dB,scaled_dB,
togbookcase_m3,0.7034013605442176,64.67276309970725,65.00000000000001,
togbucket_m3,0.9814512471655329,64.76801201888397,65,
togclock_m3,0.806734693877551,64.71609701574123,65,
togdrawer_m3,0.6714739229024943,64.65657989855532,64.99999999999999,
togfan_m3,0.778639455782313,64.70548549163556,65,
toglamp_m3,0.6961451247165533,64.66923004410523,65.00000000000001,
togmirror_m3,0.8122448979591836,64.7180763086837,64.99999999999999,
togsofa_m3,0.9210884353741496,64.75236316162824,65,
