filename,duration,original_dB,scaled_dB,
bookcase_f6,0.6720861678004535,53.77434246056034,65,
bucket_f6,0.8886167800453515,52.73911838637379,65,
clock_f6,0.6426984126984127,51.003872201130235,65,
drawer_f6,0.7127891156462585,54.33079246271695,65,
fan_f6,0.7324943310657597,54.63122601130223,65,
fim_f6,0.33233560090702946,56.50782052661257,65,
fimbookcase_f6,0.9805215419501134,54.98447996006246,65,
fimbucket_f6,1.220952380952381,54.125507736288235,65,
fimclock_f6,0.9750340136054422,53.72140337404338,65,
fimdrawer_f6,1.045124716553288,55.147705884490755,65,
fimfan_f6,1.0648299319727892,55.30821432630128,65,
fimlamp_f6,0.9823582766439909,56.9309154948684,65,
fimmirror_f6,1.0876417233560092,53.172328463693376,65.00000000000001,
fimsofa_f6,1.2946485260770975,53.07134868667106,65,
hap_f6,0.34582766439909296,59.59871428968971,65,
hapbookcase_f6,1.0179138321995465,56.69510549162585,65,
hapbucket_f6,1.2344444444444445,55.91819209556852,65,
hapclock_f6,0.9885260770975056,56.03023152072104,65,
hapdrawer_f6,1.0586167800453514,56.81569249678712,64.99999999999999,
hapfan_f6,1.0783219954648526,56.899539628893486,65,
haplamp_f6,0.9958503401360544,58.15496510999469,64.99999999999999,
hapmirror_f6,1.1011337868480726,55.51873504416104,65,
hapsofa_f6,1.308140589569161,55.15989082122662,65,
lamp_f6,0.6500226757369615,57.132285960786284,64.99999999999999,
lamp_m1,0.4082766439909297,58.79426766893442,65,
mirror_f6,0.7553061224489795,50.08823550802566,65,
sofa_f6,0.9623129251700681,50.73126413367202,65,
filename,duration,original_dB,scaled_dB,
togbookcase_f6,0.878390022675737,66.78356434030205,65.00000000000001,
togbucket_f6,1.0949206349206348,66.48421565316146,65.00000000000001,
togclock_f6,0.8490022675736961,66.8338709270662,65,
togdrawer_f6,0.9190929705215419,66.7182826549729,65,
togfan_f6,0.938798185941043,66.68840800442437,64.99999999999999,
toglamp_f6,0.856326530612245,66.82107503380394,65,
togmirror_f6,0.961609977324263,66.65508274169802,65,
togsofa_f6,1.1686167800453515,66.40420775783907,65.00000000000001,
